,Jeu,Commentaire,Commentaire_English
0,Grand Theft Auto VI,A minute of silence in honor of all loyal fans who didn't live to see this legendary moment.,en
1,Grand Theft Auto VI,"After 22 years, we can finally swim in Vice City.",en
2,Grand Theft Auto VI,I can't believe we finally got the GTA VI trailer after 12 long years! It's like a dream come true for all the loyal fans. Can't wait to dive into Vice City and experience this iconic game.,en
3,Grand Theft Auto VI,Crazy how sometimes a song just sits in wait for decades before becoming truly iconic.,en
4,Grand Theft Auto VI,Can’t stop coming back to this trailer.,en
5,Grand Theft Auto VI,Im not the only one that comes back to re-watch this months later,en
6,Grand Theft Auto VI,At this rate I’ve got about 3 GTAs left in my lifetime,en
7,Grand Theft Auto VI,I keep coming back to this. Such a great first trailer.,en
8,Grand Theft Auto VI,I can't believe they made Florida a real place to hype up the release of GTA VI.,en
9,Grand Theft Auto VI,a minute of silence for the boys who died and could not see this great game,en
10,Grand Theft Auto VI,Surely the best way to end off the year,en
11,Grand Theft Auto VI,"Hi, future me. Just want to let you know i know it's been years and you are probably waiting for GTA 7 but believe me the hype for this game was unparalleled, it was the most hyped game ever.",en
12,Grand Theft Auto VI,"16 years old buying GTA V
28 years old buying GTA VI",en
13,Grand Theft Auto VI,"Don't stop, keep coming back and watching this trailer over and over again. This is our connection with those who are currently working on this game. This is more than a game! The creators congratulate us, we inspire the creators! Thanks to them from all of us!",en
14,Grand Theft Auto VI,please tell me I'm not the only one who has watched this over 50-60 times....maybe even more,en
15,Grand Theft Auto VI,Coming back even 2 months later still feels like a surreal experience,en
16,Grand Theft Auto VI,Everytime you watch this trailer it brings you a minute & 30 seconds closer to the game release,en
17,Grand Theft Auto VI,"Bro i keep comin back mann, cant wait for the second trailer",en
18,Grand Theft Auto VI,"Even a month and a half later, it's still so hard to believe the trailer finally came out.",en
19,Grand Theft Auto VI,This is the start to a new era,en
20,Grand Theft Auto VI,The only trailer that brings all the communities together ,en
21,Grand Theft Auto VI,"I keep imagining how incredible a 2018 Rockstar game was for its details and well-crafted and creative story, imagine the 2025 game from the same company? it's insane",en
22,Grand Theft Auto VI,2025 will be a year to remember for gamers.,en
23,Grand Theft Auto VI,This isn’t GTA VI this is ‘Florida Simulator 2025’ ,en
24,Grand Theft Auto VI,They literally put every Florida trope imaginable in this,en
25,Grand Theft Auto VI,"What a time to be alive...Born around during the peak of gaming. Can't wait for ya, Grand Theft Auto 6!",en
