Name,Year,Year_Global_Sales,Global_Sales
GTA,1997,2023,2.32
GTA,1997,1997,2.32
GTA,1997,1998,2.32
GTA,1997,1999,2.32
GTA,1997,2000,2.32
GTA,1997,2001,2.32
GTA,1997,2002,2.32
GTA,1997,2003,2.32
GTA,1997,2004,2.32
GTA,1997,2005,2.32
GTA,1997,2006,2.32
GTA,1997,2007,2.32
GTA,1997,2008,2.32
GTA,1997,2009,2.32
GTA,1997,2010,2.32
GTA,1997,2011,2.32
GTA,1997,2012,2.32
GTA,1997,2013,2.32
GTA,1997,2014,2.32
GTA,1997,2015,2.32
GTA,1997,2016,2.32
GTA,1997,2017,2.32
GTA,1997,2018,2.32
GTA,1997,2019,2.32
GTA,1997,2020,2.32
GTA,1997,2021,2.32
GTA,1997,2022,2.32
GTA 2,1999,2023,3.42
GTA 2,1999,1997,0.0
GTA 2,1999,1998,0.0
GTA 2,1999,1999,3.42
GTA 2,1999,2000,3.42
GTA 2,1999,2001,3.42
GTA 2,1999,2002,3.42
GTA 2,1999,2003,3.42
GTA 2,1999,2004,3.42
GTA 2,1999,2005,3.42
GTA 2,1999,2006,3.42
GTA 2,1999,2007,3.42
GTA 2,1999,2008,3.42
GTA 2,1999,2009,3.42
GTA 2,1999,2010,3.42
GTA 2,1999,2011,3.42
GTA 2,1999,2012,3.42
GTA 2,1999,2013,3.42
GTA 2,1999,2014,3.42
GTA 2,1999,2015,3.42
GTA 2,1999,2016,3.42
GTA 2,1999,2017,3.42
GTA 2,1999,2018,3.42
GTA 2,1999,2019,3.42
GTA 2,1999,2020,3.42
GTA 2,1999,2021,3.42
GTA 2,1999,2022,3.42
GTA III,2001,2023,17.5
GTA III,2001,1997,0.0
GTA III,2001,1998,0.0
GTA III,2001,1999,0.0
GTA III,2001,2000,0.0
GTA III,2001,2001,17.5
GTA III,2001,2002,18.55
GTA III,2001,2003,18.55
GTA III,2001,2004,18.55
GTA III,2001,2005,18.55
GTA III,2001,2006,18.55
GTA III,2001,2007,18.55
GTA III,2001,2008,18.55
GTA III,2001,2009,18.55
GTA III,2001,2010,18.55
GTA III,2001,2011,18.55
GTA III,2001,2012,18.55
GTA III,2001,2013,18.55
GTA III,2001,2014,18.55
GTA III,2001,2015,18.55
GTA III,2001,2016,18.55
GTA III,2001,2017,18.55
GTA III,2001,2018,18.55
GTA III,2001,2019,18.55
GTA III,2001,2020,18.55
GTA III,2001,2021,18.55
GTA III,2001,2022,18.55
GTA Vice City,2002,2023,21.6
GTA Vice City,2002,1997,0.0
GTA Vice City,2002,1998,0.0
GTA Vice City,2002,1999,0.0
GTA Vice City,2002,2000,0.0
GTA Vice City,2002,2001,0.0
GTA Vice City,2002,2002,21.6
GTA Vice City,2002,2003,35.6
GTA Vice City,2002,2004,35.6
GTA Vice City,2002,2005,35.6
GTA Vice City,2002,2006,35.6
GTA Vice City,2002,2007,35.6
GTA Vice City,2002,2008,35.6
GTA Vice City,2002,2009,35.6
GTA Vice City,2002,2010,35.6
GTA Vice City,2002,2011,35.6
GTA Vice City,2002,2012,35.6
GTA Vice City,2002,2013,35.6
GTA Vice City,2002,2014,35.6
GTA Vice City,2002,2015,35.6
GTA Vice City,2002,2016,35.6
GTA Vice City,2002,2017,35.6
